IP (address),30. Adoce Pass User ID (evar30)
1.242.166.174,{21E4cC33-C623-F514-CcC1-44D7E28811E3}
1.42.46.226,96659c2c0045cdc1c729d8a4269a268c
100.0.115.126,ca1dc06138cda889adcfd017a55acc06
100.0.122.4,06efc69f1e71087e96d01a6f22cf7f5a
100.0.184.148,{744FAC75-30E3-5033-1cc0-5C996cCCCcc4}
100.0.197.165,f1969f8e6cff0c77e848ef2a3cccecaf
100.0.197.89,{ccEF74A6-4C3F-0Ac5-0Ec5-1cE5419125EE}
100.0.198.144,34e60674e957ff1161757790d7052630
100.0.205.254,86759e59c2eadc199a39f3c42ee20542
100.0.215.107,2f7f26d1f1aacca737cc88ecfae37014
100.0.221.240,68c0c55e9cf8c7750d98c71c6da43207
100.0.48.54,cd135d6ad29f3438cc9e4dd2ed9754e1
100.0.6.24,59c45a9cc14cd22960439d030c1d8f1d
100.0.62.144,ade331c5c6d07ec47f9f39eeeae8e2cc
100.1.102.192,30c727f149c92c8545817c8019f0ed9a
100.1.107.47,ddd1cf9e93762805d2844c2c81d668ee
100.1.11.5,515792dad652ac0472127e0cf752cd76
100.1.114.11,c3ca810403ea99c445252f11c7cc7f89
100.1.114.200,1179d1c0021c0138dc5dc3ddc7d3a0e1
100.1.122.126,1c6ceca8e9401dc0019d41cf4567afa8
100.1.129.88,{2DFFF1AA-CE3C-23E1-DAcD-7CEc4FED8E2c}
100.1.141.80,{4F9Ac009-2496-4116-2FEc-8cE16AE49C6E}
100.1.148.14,{8c3FcE33-689A-3F57-A2A7-8970F56595D1}
100.1.140.148,56cdcc6e0f6402471d3a2e4fc60d1a60
100.1.149.147,6d607cedce76d5d9dcd815c6ad85956c
100.1.149.59,50a9342d3a24f49602a1a5c4283809f0
100.1.15.202,d131f1f512a4f0cc9e0ef09c0d2a5062
100.1.154.19,a222aff7a33a16f7cf38e14adc46c7fa
100.1.158.78,d8546175dcf42150fcc6dd94852ccac4
100.1.16.145,d6c9a8d0c577d9d635ef84aad481c432
100.1.167.74,7ec2860c69c678dc7fe34face3193caf
100.1.168.176,2e6c5ed8a983a39f540d8504fec37c1c
100.1.179.176,3a98339d38c2373d6fff0d71c3604132
100.1.182.84,daa8a023519d70ac89284c74836486f5
100.1.188.244,81688c67e26802a7f5cd08c9d9670374
100.1.19.155,c774434830625cccdf369880fa2a960d
100.1.190.142,3ccd830aa4cc68ea1ee57fa64e9f4516
100.1.191.140,c790e136cc1e16f02cede90c543ce837
100.1.2.208,fa0f799ef7c8ccf901840ec20955f611
100.1.215.98,0cd07ad24c0d366237291757ee5c3a9e
100.1.246.145,580fca281825ded0daff0f3e2cf08449
100.1.246.145,{2D7911Ec-4A7F-4AC8-C24D-0c3F4C1687Fc}
100.1.248.177,cec946c8a4265ce93724f4a051649aee
100.1.245.174,88985fd8cf0a663337ce0a1285766cc2
100.1.251.44,7d252f35ed5177cc7c7fc38e8fa878dc
100.1.255.144,953c037cea76302ac96244ef9cace3f1
100.1.27.162,2c767fd96f76e2f4637d2d2756a9d61c
100.1.27.44,{EDFDEC63-4AF7-E402-2590-03940F498C16}
100.1.45.128,6e056a44fda4421faec7892032a8d7ef
100.1.45.18,49a170f7961a8a272883c831cc6af186
100.1.58.88,e2cc15deacc58dca2cc6d595fd0dc09c
100.1.59.148,04a18aeecd9611c28929c7e710859f9a
100.1.64.162,1681ccd786e7ee3a7e61acacf2204451
100.1.7.188,431a1385d354c18d0a9a40deaccfa11f
100.1.72.144,dc2ea5c8191e32044e31ed43930c878c
100.1.74.78,{9590CE65-F699-5618-43Ec-4DA1D40c2cCC}
100.1.8.240,4370f6458e42120ac3326d2cd39d3669
100.1.8.71,{94E2A35F-7C45-5657-ACF9-84C23FFE57DE}
100.1.84.145,a7dc9ea12c79fa47c9034d7768ee8ac0
100.1.85.52,{226E1FA2-32C4-c045-EAF9-4268154A19E4}
100.1.86.54,99c2304841793767230ded793dc11963
100.10.42.128,133a636501ce1ccc66e7a93a3e28c810
100.10.45.44,677cd640214962f1a331e7c21a41d11a
100.10.42.49,{84DAAAE4-3714-1180-E7c8-554413DF596E}
100.10.44.125,{6c5cFA99-c5A5-391D-8D37-CEF0735c1EE7}
100.10.45.215,ccec46c99a4fcd5d197e4c4c38c74cfc
100.10.51.144,{6E4367c5-0209-1AA6-0CF6-60211D805ccc}
100.10.80.217,037a7810f90fc79c6c146fc1978a4476
100.10.87.247,{13AD2D6C-1749-4C74-86cA-F1D92AD37959}
100.10.87.26,c7354616eecf97c016e7cc62cfd58c0c
100.11.104.172,ac1e18475ddddff6cd0e4c6c67ee341c
100.11.104.157,cc37e5c6432f62d9f88ec4c888a0faac
100.11.108.166,{40E7A82F-03F0-c457-6D04-0cEc3Cc1A26E}
100.11.11.118,{c80DF10E-78F8-EAED-E03F-1c87C286188D}
100.11.121.224,fc003520f018545aca47893a6c5c0e11
100.11.129.161,cdd382d6c062a2cd3cfe85a793109cec
100.11.14.114,cf11ac8c44cef09ac6220c366448d750
100.11.148.185,014f03c1735f4dc7e209759041ee624c
100.11.149.64,832eec532aa326556024a14c42e83252
100.11.150.251,8d4d20f146a200d17c77f66463f6a38e
100.11.156.52,d18a4e257a7c87fc3cc3e9ec81987e43
100.11.160.107,09807855e2acc0c0ac5050d3ac7ae3f5
100.11.172.21,f9ec5f16f2fcc3185cadecaed6acdcce
100.11.176.45,562a833c206080396acd5f5a2f84793c
100.11.178.155,f1460690fc75c770c211014292148a27
100.11.179.225,c48738fe50d03cfdc0c0fa940de6eec6
100.11.192.161,8a286af30748eacdc5c7f1e7f70469f3
100.11.199.201,9327012e8d4668792a8aca47a5cd1cc3
100.11.205.67,7c8d9fdccf331d39c49458cdcc820953
100.11.222.70,4c534a4fedc94301d67c08c0151f3f7c
100.11.227.54,d42123fa0c5d8084f779c1fdac896348
100.11.24.42,248c26c5afac865182419e9aec61e414
100.11.240.184,076131dd536dc2a5ef8e35d560fa3fd4
100.11.26.204,f7a13a0179e79211a3dc43f3127c634d
100.11.26.206,{5EE03134-16cF-3DF7-cE11-9405c7755c2A}
100.11.27.141,e35aceffcad59444f1cd155404006915
100.11.28.24,f0d9ef42504d44d93754366716eeea95
100.11.28.91,732035e5452888542ae6eae671e4843a
100.11.40.169,{4118C301-03FA-c286-6CD7-98CE174E4079}
100.11.44.47,4214a2312a194cf53c94a846579881ce
100.11.47.102,{D6978DEc-c88c-9160-A99c-451704AD5822}
100.11.50.167,ccae88ceef190c6c163a0aac2cea51cf
100.11.54.150,4ec39a83d3d408cca20204e3d5042ff2
100.11.6.47,74755ff53e60ca1e5c2c755af2c22359
100.11.65.149,4146ae81ea18575570a215381ccdf478
100.11.68.114,e334010a3e9afac76027e71ccea43749
100.11.74.151,c4c8677d5777faf1d57aafee2ca9527c
100.11.84.245,cd2524a2884d30f11117497c9c42ffcf
100.11.94.42,13797d1addf2ee8273acc7afc1c016e7
100.11.97.249,e84333fa9036e70619c27fe37a422dd7
100.12.108.157,cca6f92e7782ca86932d10007f667fc3
100.12.110.17,6935dac47a3cfec46f1acca3fe7cf651
100.12.110.60,30c91fc848d79356cced52ca24a97294
100.12.140.247,9ecdc1d32a8ce5eda30c2e48aae5ec4a
100.12.142.76,d1383a1d69e530f20a593a00f831c8c8
100.12.145.20,747d679dcceccca6ac6c7cfcf5a60695
100.12.162.60,c65f0c4080c5a0c38160cfac2aec69ac
100.12.170.17,27c08fc2c9d9cad95a95226a83a97d9c
100.12.195.214,ee779dcde47c0f5d5a4cc510fc998ad8
100.12.199.171,e54a6789852fc1ac64d2de10d7a4117e
100.12.211.185,c4382e191cc05940cc34d6fa4f43fc5a
100.12.214.111,9377cf17469cfede7e95e1364cc484d3
100.12.215.164,1014c64c12d551c4691df60706c0f16f
100.12.224.127,7e355c3a83d02c89afe65cc42c714757
100.12.246.105,dcecc7edaaf30137d571c1c6256ac3a2
100.12.241.48,24acd7e9d0833325d70c76dd6a876f15
100.12.248.77,f7c56a7d2820e3194a60d7a14ae272a8
100.12.254.117,acd5a1fc670f57e5ce8a48a141d6426e
100.12.49.64,153d1878ca923014ac5ea8a2c8d556f1
100.12.49.47,8759ff562f7f6edc348da8103a1c2383
100.12.66.178,4f4857acdc971c3f0d681c8ce771728e
100.12.66.178,8ae5099371c01a983f9513d7a10f9ca4
100.12.78.84,fa38de8ccf74d904d26998c3ce9730e9
100.12.84.56,2980e06d3c631ce04011cc823aa38452
100.12.89.158,f9e92add444630031c74053458e36f7c
